Отчет о запасах (синтетические данные)
Единицы: млн барр.

Месторождение;Категория;Запасы на 01.01.2025;Оценка компании;Оценка аудитора;Добыча за год
Field_C1;1P;344,29;336,22;333,1;17,8
Field_C1;2P;486,33;474,93;454,6;17,8
Field_C1;3P;680,38;664,43;647,66;17,8
Field_C2;1P;272,44;357,4;263,53;16,43
Field_C2;2P;372,37;375,76;351,01;16,43
Field_C2;3P;494,1;498,61;490,94;16,43
Field_C3;1P;81,28;79,28;76,67;5,29
Field_C3;2P;128,31;125,15;119,81;5,29
Field_C3;3P;168,07;163,93;158,62;5,29
Field_C4;1P;157,49;154,65;145,81;6,99
Field_C4;2P;265,33;260,55;249,78;6,99
Field_C4;3P;369,33;362,69;365,94;6,99
Field_C5;1P;315,93;312,56;300,0;23,96
Field_C5;2P;445,11;440,36;438,25;23,96
Field_C5;3P;586,94;580,68;293,24;23,96
Field_C6;1P;136,26;132,89;126,8;9,4
Field_C6;2P;223,83;218,3;213,27;9,4
Field_C6;3P;307,29;299,69;290,9;9,4
